was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,0,0,1678040497,0,0
1,1,0,1678040498,1,0
1,0,0,1678040498,2,0
1,0,0,1678040498,3,0
0,0,1,1678040498,4,1
1,0,0,1678040499,6,0
1,0,0,1678040499,7,0
1,0,0,1678040499,8,0
0,0,1,1678040499,9,1
1,0,0,1678040500,10,0
0,0,1,1678040500,11,1
1,0,0,1678040500,13,0
1,0,0,1678040500,14,0
1,0,0,1678040501,15,0
1,1,0,1678040501,16,0
1,0,0,1678040501,17,0
1,0,0,1678040501,18,0
1,0,0,1678040502,19,0
1,0,0,1678040502,20,0
1,1,0,1678040502,21,0
1,0,0,1678040502,22,0
0,0,1,1678040503,23,1
1,1,0,1678040503,27,0
1,1,0,1678040503,28,0
1,0,0,1678040503,29,0
1,1,0,1678040504,30,0
1,1,0,1678040504,31,0
1,0,0,1678040504,32,0
1,1,0,1678040504,33,0
1,0,0,1678040505,34,0
1,0,0,1678040505,35,0
0,0,1,1678040505,36,1
0,0,1,1678040505,39,1
1,1,0,1678040506,40,0
1,0,0,1678040506,41,0
1,0,0,1678040506,42,0
0,0,1,1678040506,43,1
1,0,0,1678040507,45,0
1,0,0,1678040507,46,0
1,0,0,1678040507,47,0
0,0,1,1678040508,48,1
1,1,0,1678040508,51,0
1,1,0,1678040508,52,0
1,0,0,1678040508,53,0
0,0,1,1678040509,54,1
1,1,0,1678040509,55,0
1,0,0,1678040509,56,0
1,1,0,1678040509,57,0
1,1,0,1678040510,58,0
1,0,0,1678040510,59,0
1,0,0,1678040510,60,0
1,0,0,1678040510,61,0
0,0,1,1678040511,62,1
0,0,1,1678040511,65,1
1,0,0,1678040511,67,0
1,0,0,1678040511,68,0
0,0,1,1678040512,69,1
1,1,0,1678040512,71,0
1,1,0,1678040512,72,0
1,1,0,1678040512,73,0
1,0,0,1678040513,74,0
1,1,0,1678040513,75,0
1,1,0,1678040513,76,0
1,0,0,1678040513,77,0
0,0,1,1678040514,78,1
1,1,0,1678040514,80,0
1,0,0,1678040514,81,0
1,0,0,1678040514,82,0
1,1,0,1678040515,83,0
1,0,0,1678040515,84,0
1,0,0,1678040515,85,0
1,0,0,1678040515,86,0
0,0,1,1678040516,87,1
0,0,1,1678040516,91,1
1,1,0,1678040516,92,0
1,0,0,1678040516,93,0
1,0,0,1678040517,94,0
1,0,0,1678040517,95,0
1,0,0,1678040517,96,0
1,0,0,1678040517,97,0
1,1,0,1678040518,98,0
1,0,0,1678040518,99,0
0,0,1,1678040518,100,1
1,0,0,1678040518,103,0
1,0,0,1678040519,104,0
0,0,1,1678040519,105,1
1,0,0,1678040519,106,0
1,1,0,1678040519,107,0
0,0,1,1678040520,108,1
