was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,1,0,1677995257,0,0
0,0,1,1677995257,1,0
0,0,1,1677995258,2,0
0,0,1,1677995258,3,0
1,0,0,1677995258,4,0
1,0,0,1677995258,5,0
1,1,0,1677995258,6,0
1,0,0,1677995258,7,0
1,1,0,1677995259,8,0
1,0,0,1677995259,9,0
1,0,0,1677995259,10,0
1,0,0,1677995259,11,0
1,0,0,1677995259,12,0
1,1,0,1677995259,13,0
1,0,0,1677995260,14,0
1,0,0,1677995260,15,0
1,0,0,1677995260,16,0
1,0,0,1677995260,17,0
1,1,0,1677995260,18,0
1,1,0,1677995260,19,0
1,1,0,1677995261,20,0
1,0,0,1677995261,21,0
1,1,0,1677995261,22,0
1,0,0,1677995261,23,0
1,0,0,1677995261,24,0
1,0,0,1677995261,25,0
1,1,0,1677995262,26,0
1,0,0,1677995262,27,0
1,1,0,1677995262,28,0
1,0,0,1677995262,29,0
1,1,0,1677995262,30,0
1,0,0,1677995262,31,0
1,0,0,1677995263,32,0
1,0,0,1677995263,33,0
1,1,0,1677995263,34,0
0,0,1,1677995263,35,0
1,0,0,1677995263,36,0
1,0,0,1677995263,37,0
1,0,0,1677995264,38,0
0,0,1,1677995264,39,0
1,0,0,1677995264,40,0
1,0,0,1677995264,41,0
1,0,0,1677995264,42,0
1,0,0,1677995264,43,0
0,0,1,1677995265,44,0
1,0,0,1677995265,45,0
1,0,0,1677995265,46,0
1,0,0,1677995265,47,0
0,0,1,1677995265,48,0
1,1,0,1677995265,49,0
1,0,0,1677995266,50,0
1,1,0,1677995266,51,0
0,0,1,1677995266,52,0
1,0,0,1677995266,53,0
0,0,1,1677995266,54,0
1,0,0,1677995266,55,0
1,0,0,1677995267,56,0
1,1,0,1677995267,57,0
1,1,0,1677995267,58,0
0,0,1,1677995267,59,0
1,0,0,1677995267,60,0
1,0,0,1677995268,61,0
1,1,0,1677995268,62,0
1,0,0,1677995268,63,0
1,1,0,1677995268,64,0
1,1,0,1677995268,65,0
1,0,0,1677995268,66,0
1,1,0,1677995269,67,0
1,0,0,1677995269,68,0
1,0,0,1677995269,69,0
1,0,0,1677995269,70,0
1,0,0,1677995269,71,0
0,0,1,1677995269,72,0
1,1,0,1677995270,73,0
1,0,0,1677995270,74,0
1,1,0,1677995270,75,0
1,0,0,1677995270,76,0
1,0,0,1677995270,77,0
1,0,0,1677995270,78,0
1,0,0,1677995271,79,0
1,0,0,1677995271,80,0
1,0,0,1677995271,81,0
1,0,0,1677995271,82,0
1,1,0,1677995271,83,0
1,0,0,1677995271,84,0
1,0,0,1677995272,85,0
1,0,0,1677995272,86,0
1,0,0,1677995272,87,0
1,0,0,1677995272,88,0
0,0,1,1677995272,89,0
