was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,1,0,1677955074,0,0
0,0,1,1677955075,1,0
1,0,0,1677955075,2,0
0,0,1,1677955075,3,0
0,0,1,1677955076,4,0
1,1,0,1677955076,5,0
1,1,0,1677955076,6,0
1,0,0,1677955077,7,0
1,1,0,1677955077,8,0
1,1,0,1677955077,9,0
1,1,0,1677955078,10,0
1,0,0,1677955078,11,0
1,1,0,1677955078,12,0
1,1,0,1677955079,13,0
1,0,0,1677955079,14,0
1,1,0,1677955079,15,0
1,0,0,1677955080,16,0
0,0,1,1677955080,17,0
1,0,0,1677955080,18,0
1,1,0,1677955081,19,0
1,1,0,1677955081,20,0
1,1,0,1677955081,21,0
1,1,0,1677955082,22,0
1,1,0,1677955082,23,0
1,1,0,1677955082,24,0
1,1,0,1677955083,25,0
1,0,0,1677955083,26,0
1,0,0,1677955083,27,0
1,1,0,1677955084,28,0
1,0,0,1677955084,29,0
1,1,0,1677955084,30,0
1,0,0,1677955085,31,0
0,0,1,1677955085,32,0
1,0,0,1677955085,33,0
0,0,1,1677955086,34,0
1,1,0,1677955086,35,0
1,1,0,1677955086,36,0
1,0,0,1677955087,37,0
1,0,0,1677955087,38,0
1,1,0,1677955087,39,0
1,0,0,1677955088,40,0
0,0,1,1677955088,41,0
1,0,0,1677955088,42,0
0,0,1,1677955089,43,0
1,0,0,1677955089,44,0
1,1,0,1677955089,45,0
1,0,0,1677955090,46,0
1,0,0,1677955090,47,0
1,0,0,1677955090,48,0
1,1,0,1677955091,49,0
1,1,0,1677955091,50,0
1,1,0,1677955091,51,0
1,1,0,1677955092,52,0
1,1,0,1677955092,53,0
1,0,0,1677955092,54,0
1,1,0,1677955093,55,0
1,1,0,1677955093,56,0
1,1,0,1677955093,57,0
1,0,0,1677955094,58,0
1,0,0,1677955094,59,0
1,1,0,1677955094,60,0
1,1,0,1677955095,61,0
1,1,0,1677955095,62,0
1,1,0,1677955096,63,0
1,1,0,1677955096,64,0
1,1,0,1677955096,65,0
1,1,0,1677955097,66,0
1,1,0,1677955097,67,0
1,1,0,1677955097,68,0
1,1,0,1677955098,69,0
1,1,0,1677955098,70,0
1,1,0,1677955098,71,0
1,0,0,1677955099,72,0
1,0,0,1677955099,73,0
1,1,0,1677955099,74,0
1,1,0,1677955100,75,0
1,1,0,1677955100,76,0
1,1,0,1677955100,77,0
1,0,0,1677955101,78,0
1,0,0,1677955101,79,0
0,0,1,1677955101,80,0
1,0,0,1677955102,81,0
0,0,1,1677955102,82,0
1,1,0,1677955102,83,0
1,1,0,1677955103,84,0
1,0,0,1677955103,85,0
1,1,0,1677955103,86,0
1,1,0,1677955104,87,0
1,1,0,1677955104,88,0
1,0,0,1677955104,89,0
1,1,0,1677955105,90,0
1,1,0,1677955105,91,0
1,0,0,1677955105,92,0
1,1,0,1677955106,93,0
1,1,0,1677955106,94,0
1,1,0,1677955106,95,0
1,1,0,1677955107,96,0
1,1,0,1677955107,97,0
1,0,0,1677955107,98,0
1,0,0,1677955108,99,0
1,0,0,1677955108,100,0
1,1,0,1677955108,101,0
1,0,0,1677955109,102,0
1,1,0,1677955109,103,0
0,0,1,1677955109,104,0
1,0,0,1677955110,105,0
1,0,0,1677955110,106,0
1,1,0,1677955110,107,0
1,0,0,1677955111,108,0
1,0,0,1677955111,109,0
1,1,0,1677955111,110,0
1,0,0,1677955112,111,0
1,1,0,1677955112,112,0
1,0,0,1677955112,113,0
1,1,0,1677955113,114,0
1,1,0,1677955113,115,0
1,1,0,1677955113,116,0
1,1,0,1677955114,117,0
1,1,0,1677955114,118,0
1,0,0,1677955114,119,0
1,0,0,1677955115,120,0
1,0,0,1677955115,121,0
1,1,0,1677955115,122,0
1,0,0,1677955116,123,0
1,1,0,1677955116,124,0
1,1,0,1677955116,125,0
1,1,0,1677955117,126,0
1,1,0,1677955117,127,0
1,0,0,1677955117,128,0
0,0,1,1677955118,129,0
1,0,0,1677955118,130,0
1,1,0,1677955118,131,0
1,1,0,1677955119,132,0
1,1,0,1677955119,133,0
1,0,0,1677955119,134,0
1,1,0,1677955120,135,0
1,1,0,1677955120,136,0
1,0,0,1677955120,137,0
0,0,1,1677955121,138,0
1,1,0,1677955121,139,0
1,1,0,1677955121,140,0
0,0,1,1677955122,141,0
1,0,0,1677955122,142,0
0,0,1,1677955122,143,0
1,0,0,1677955123,144,0
1,0,0,1677955123,145,0
1,1,0,1677955123,146,0
0,0,1,1677955124,147,0
1,1,0,1677955124,148,0
1,1,0,1677955124,149,0
1,0,0,1677955125,150,0
1,1,0,1677955125,151,0
1,1,0,1677955125,152,0
1,1,0,1677955126,153,0
1,1,0,1677955126,154,0
1,0,0,1677955126,155,0
1,1,0,1677955127,156,0
1,1,0,1677955127,157,0
1,1,0,1677955127,158,0
1,1,0,1677955128,159,0
1,1,0,1677955128,160,0
1,0,0,1677955128,161,0
0,0,1,1677955129,162,0
1,1,0,1677955129,163,0
1,0,0,1677955129,164,0
0,0,1,1677955130,165,0
1,1,0,1677955130,166,0
1,0,0,1677955131,167,0
0,0,1,1677955131,168,0
1,0,0,1677955131,169,0
0,0,1,1677955132,170,0
0,0,1,1677955132,171,0
1,0,0,1677955132,172,0
0,0,1,1677955133,173,0
1,1,0,1677955133,174,0
1,0,0,1677955133,175,0
0,0,1,1677955134,176,0
0,0,1,1677955134,177,0
1,0,0,1677955134,178,0
