was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,0,0,1678047888,0,0
1,0,0,1678047888,1,0
0,0,1,1678047888,2,1
1,1,0,1678047889,3,0
1,1,0,1678047889,4,0
1,0,0,1678047889,5,0
1,0,0,1678047890,6,0
1,1,0,1678047890,7,0
1,0,0,1678047890,8,0
1,0,0,1678047891,9,0
1,1,0,1678047891,10,0
1,0,0,1678047891,11,0
1,0,0,1678047892,12,0
1,0,0,1678047892,13,0
0,0,1,1678047892,14,1
1,0,0,1678047893,15,0
1,0,0,1678047893,16,0
1,0,0,1678047893,17,0
1,0,0,1678047894,18,0
0,0,1,1678047894,19,1
1,1,0,1678047894,20,0
1,0,0,1678047895,21,0
1,0,0,1678047895,22,0
1,0,0,1678047895,23,0
1,0,0,1678047896,24,0
1,0,0,1678047896,25,0
1,0,0,1678047896,26,0
1,0,0,1678047897,27,0
1,0,0,1678047897,28,0
0,0,1,1678047897,29,1
1,0,0,1678047898,30,0
1,0,0,1678047898,31,0
1,0,0,1678047898,32,0
1,0,0,1678047899,33,0
1,0,0,1678047899,34,0
1,0,0,1678047899,35,0
1,0,0,1678047900,36,0
1,0,0,1678047900,37,0
1,0,0,1678047900,38,0
1,0,0,1678047901,39,0
1,0,0,1678047901,40,0
1,1,0,1678047901,41,0
1,0,0,1678047902,42,0
1,0,0,1678047902,43,0
0,0,1,1678047902,44,1
1,0,0,1678047903,45,0
0,0,1,1678047903,46,1
0,0,1,1678047903,47,1
1,0,0,1678047904,48,0
1,1,0,1678047904,49,0
0,0,1,1678047904,50,1
1,0,0,1678047905,51,0
1,0,0,1678047905,52,0
1,0,0,1678047905,53,0
1,0,0,1678047906,54,0
0,0,1,1678047906,55,1
0,0,1,1678047906,56,1
1,0,0,1678047907,57,0
0,0,1,1678047907,58,1
1,1,0,1678047907,59,0
1,0,0,1678047908,60,0
1,0,0,1678047908,61,0
1,0,0,1678047908,62,0
1,0,0,1678047909,63,0
1,1,0,1678047909,64,0
1,0,0,1678047909,65,0
1,0,0,1678047910,66,0
1,1,0,1678047910,67,0
1,0,0,1678047910,68,0
1,0,0,1678047911,69,0
1,0,0,1678047911,70,0
0,0,1,1678047911,71,1
1,0,0,1678047912,72,0
1,0,0,1678047912,73,0
1,0,0,1678047912,74,0
1,0,0,1678047913,75,0
1,1,0,1678047913,76,0
1,0,0,1678047913,77,0
1,1,0,1678047914,78,0
1,0,0,1678047914,79,0
1,1,0,1678047914,80,0
1,1,0,1678047915,81,0
1,1,0,1678047915,82,0
1,1,0,1678047915,83,0
1,0,0,1678047916,84,0
1,0,0,1678047916,85,0
1,0,0,1678047916,86,0
1,0,0,1678047917,87,0
0,0,1,1678047917,88,1
1,1,0,1678047917,89,0
1,0,0,1678047918,90,0
1,0,0,1678047918,91,0
1,0,0,1678047919,92,0
1,0,0,1678047919,93,0
1,1,0,1678047919,94,0
1,0,0,1678047920,95,0
1,1,0,1678047920,96,0
1,0,0,1678047920,97,0
0,0,1,1678047921,98,1
1,0,0,1678047921,99,0
0,0,1,1678047921,100,1
1,0,0,1678047922,101,0
1,0,0,1678047922,102,0
1,0,0,1678047922,103,0
0,0,1,1678047923,104,1
1,0,0,1678047923,105,0
1,0,0,1678047923,106,0
0,0,1,1678047924,107,1
1,0,0,1678047924,108,0
0,0,1,1678047924,109,1
0,0,1,1678047925,110,1
1,0,0,1678047925,111,0
0,0,1,1678047925,112,1
1,0,0,1678047926,113,0
1,0,0,1678047926,114,0
1,0,0,1678047926,115,0
1,0,0,1678047927,116,0
1,0,0,1678047927,117,0
1,0,0,1678047927,118,0
1,1,0,1678047928,119,0
1,0,0,1678047928,120,0
1,1,0,1678047928,121,0
1,0,0,1678047929,122,0
1,1,0,1678047929,123,0
1,0,0,1678047929,124,0
1,0,0,1678047930,125,0
1,0,0,1678047930,126,0
1,1,0,1678047930,127,0
1,0,0,1678047931,128,0
1,0,0,1678047931,129,0
1,0,0,1678047931,130,0
1,0,0,1678047932,131,0
1,1,0,1678047932,132,0
1,0,0,1678047932,133,0
0,0,1,1678047933,134,1
1,1,0,1678047933,135,0
1,1,0,1678047933,136,0
1,0,0,1678047934,137,0
1,0,0,1678047934,138,0
1,1,0,1678047934,139,0
1,0,0,1678047935,140,0
1,0,0,1678047935,141,0
1,0,0,1678047935,142,0
0,0,1,1678047936,143,1
1,0,0,1678047936,144,0
1,1,0,1678047936,145,0
1,0,0,1678047937,146,0
1,0,0,1678047937,147,0
1,1,0,1678047937,148,0
1,0,0,1678047938,149,0
1,0,0,1678047938,150,0
1,0,0,1678047938,151,0
1,1,0,1678047939,152,0
1,1,0,1678047939,153,0
1,0,0,1678047939,154,0
1,0,0,1678047940,155,0
1,1,0,1678047940,156,0
1,0,0,1678047940,157,0
0,0,1,1678047941,158,1
1,0,0,1678047941,159,0
1,0,0,1678047941,160,0
1,1,0,1678047942,161,0
1,1,0,1678047942,162,0
1,0,0,1678047942,163,0
1,1,0,1678047943,164,0
1,0,0,1678047943,165,0
1,0,0,1678047943,166,0
1,0,0,1678047944,167,0
0,0,1,1678047944,168,1
1,1,0,1678047944,169,0
1,1,0,1678047945,170,0
1,0,0,1678047945,171,0
1,1,0,1678047945,172,0
1,0,0,1678047946,173,0
1,0,0,1678047946,174,0
1,0,0,1678047946,175,0
1,0,0,1678047947,176,0
1,1,0,1678047947,177,0
1,0,0,1678047947,178,0
