was_die_roll,sent_message,message_received,system_time,logical_clock_time,length_of_queue
1,1,0,1678041102,0,0
0,0,1,1678041102,1,1
1,1,0,1678041103,2,0
0,0,1,1678041103,3,1
1,0,0,1678041103,4,0
1,0,0,1678041104,5,0
1,1,0,1678041104,6,0
1,0,0,1678041104,7,0
0,0,1,1678041105,8,1
1,1,0,1678041105,9,0
1,0,0,1678041105,10,0
0,0,1,1678041106,11,1
0,0,1,1678041106,12,1
1,0,0,1678041106,13,0
1,0,0,1678041107,14,0
1,1,0,1678041107,15,0
1,1,0,1678041107,16,0
1,1,0,1678041108,17,0
1,1,0,1678041108,18,0
0,0,1,1678041108,19,1
1,0,0,1678041109,20,0
1,1,0,1678041109,21,0
1,0,0,1678041109,22,0
1,1,0,1678041110,23,0
0,0,1,1678041110,24,1
0,0,1,1678041110,25,1
0,0,1,1678041111,26,1
1,1,0,1678041111,27,0
1,1,0,1678041111,28,0
1,1,0,1678041112,29,0
1,1,0,1678041112,30,0
1,1,0,1678041112,31,0
1,0,0,1678041113,32,0
1,0,0,1678041113,33,0
1,0,0,1678041113,34,0
1,1,0,1678041114,35,0
0,0,1,1678041114,36,2
0,0,1,1678041114,37,1
1,0,0,1678041115,38,0
0,0,1,1678041115,39,1
0,0,1,1678041115,40,1
1,1,0,1678041116,41,0
1,0,0,1678041116,42,0
1,0,0,1678041117,43,0
1,1,0,1678041117,44,0
0,0,1,1678041117,45,2
0,0,1,1678041118,46,2
0,0,1,1678041118,47,2
0,0,1,1678041118,48,2
0,0,1,1678041119,49,1
1,1,0,1678041119,50,0
0,0,1,1678041119,51,1
0,0,1,1678041120,52,1
0,0,1,1678041120,53,1
1,0,0,1678041120,54,0
0,0,1,1678041121,55,1
0,0,1,1678041121,56,1
0,0,1,1678041121,57,1
0,0,1,1678041122,58,1
1,1,0,1678041122,59,0
0,0,1,1678041122,60,1
1,0,0,1678041123,61,0
0,0,1,1678041123,62,1
0,0,1,1678041123,63,1
1,1,0,1678041124,64,0
1,1,0,1678041124,65,0
1,1,0,1678041124,66,0
1,1,0,1678041125,67,0
1,0,0,1678041125,68,0
1,1,0,1678041125,69,0
0,0,1,1678041126,70,1
1,0,0,1678041126,71,0
1,1,0,1678041126,72,0
1,0,0,1678041127,73,0
1,1,0,1678041127,74,0
1,0,0,1678041127,75,0
1,1,0,1678041128,76,0
1,1,0,1678041128,77,0
1,1,0,1678041128,78,0
0,0,1,1678041129,79,1
1,1,0,1678041129,80,0
1,0,0,1678041129,81,0
1,1,0,1678041130,82,0
1,1,0,1678041130,83,0
1,0,0,1678041130,84,0
1,1,0,1678041131,85,0
1,0,0,1678041131,86,0
1,1,0,1678041131,87,0
1,1,0,1678041132,88,0
1,0,0,1678041132,89,0
0,0,1,1678041132,90,1
1,0,0,1678041133,91,0
1,1,0,1678041133,92,0
1,1,0,1678041133,93,0
1,0,0,1678041134,94,0
1,0,0,1678041134,95,0
1,1,0,1678041134,96,0
0,0,1,1678041135,97,1
1,1,0,1678041135,98,0
1,1,0,1678041135,99,0
1,1,0,1678041136,100,0
1,1,0,1678041136,101,0
1,0,0,1678041136,102,0
0,0,1,1678041137,103,1
1,0,0,1678041137,104,0
0,0,1,1678041137,105,1
0,0,1,1678041138,106,1
0,0,1,1678041138,107,1
1,1,0,1678041138,108,0
1,1,0,1678041139,109,0
0,0,1,1678041139,110,1
1,1,0,1678041139,111,0
1,0,0,1678041140,112,0
0,0,1,1678041140,113,1
1,0,0,1678041140,114,0
0,0,1,1678041141,115,1
1,1,0,1678041141,116,0
1,0,0,1678041141,117,0
1,1,0,1678041142,118,0
1,1,0,1678041142,119,0
1,1,0,1678041142,120,0
0,0,1,1678041143,121,1
1,1,0,1678041143,122,0
0,0,1,1678041143,123,1
0,0,1,1678041144,124,1
1,1,0,1678041144,125,0
1,0,0,1678041144,126,0
1,1,0,1678041145,127,0
1,0,0,1678041145,128,0
1,1,0,1678041145,129,0
1,1,0,1678041146,130,0
1,0,0,1678041146,131,0
1,1,0,1678041146,132,0
1,0,0,1678041147,133,0
0,0,1,1678041147,134,1
0,0,1,1678041147,135,1
0,0,1,1678041148,136,1
0,0,1,1678041148,137,1
1,0,0,1678041148,138,0
1,1,0,1678041149,139,0
1,0,0,1678041149,140,0
1,0,0,1678041150,141,0
1,0,0,1678041150,142,0
1,0,0,1678041150,143,0
1,0,0,1678041151,144,0
1,0,0,1678041151,145,0
1,1,0,1678041151,146,0
1,1,0,1678041152,147,0
1,1,0,1678041152,148,0
1,0,0,1678041152,149,0
0,0,1,1678041153,150,1
1,1,0,1678041153,151,0
1,0,0,1678041153,152,0
0,0,1,1678041154,153,1
1,1,0,1678041154,154,0
1,1,0,1678041154,155,0
1,0,0,1678041155,156,0
1,1,0,1678041155,157,0
1,1,0,1678041155,158,0
1,1,0,1678041156,159,0
1,1,0,1678041156,160,0
0,0,1,1678041156,161,1
1,1,0,1678041157,162,0
0,0,1,1678041157,163,1
1,1,0,1678041157,164,0
1,0,0,1678041158,165,0
1,1,0,1678041158,166,0
0,0,1,1678041158,167,1
0,0,1,1678041159,168,2
0,0,1,1678041159,169,2
0,0,1,1678041159,170,1
0,0,1,1678041160,171,1
0,0,1,1678041160,172,1
0,0,1,1678041160,173,1
1,1,0,1678041161,174,0
0,0,1,1678041161,175,1
0,0,1,1678041161,176,1
1,1,0,1678041162,177,0
1,1,0,1678041162,178,0
